NR_INWENT,C,50;NAZWA,C,200;REGION,C,254;GMINA,C,100;WLASCICIEL,C,254;DLUGOSC,N,19,4;GLEBOKOSC,N,19,4;PRZEWYZSZE,N,19,4;DENIWELACJ,N,19,4;OSUWISKOWA,N,5,0;X_1992,N,19,4;Y_1992,N,19,4;ID,N,10,0
K.Bż-05.16;Schronisko w Lesie Suwarki;Karpaty;Zawoja (gm. wiejska);Skarb Państwa (Lasy Państwowe);3;1,5;1,5;0;1;545920,41;196580,81;10140
J.Olk.II-01.30;Schronisko z Widokiem;Wyżyna Śląsko-Krakowska;Olkusz (gm. miejsko-wiejska);Skarb Państwa (Lasy Państwowe);6;0;2,5;2,5;0;547017,83;273737,67;10391
J.Olk.II-01.02;Schronisko przy stacji kolejowej Rabsztyn;Wyżyna Śląsko-Krakowska;Olkusz (gm. miejsko-wiejska);Skarb Państwa (Lasy Państwowe);49;9;9;0;0;544576,06;274558,93;10024
J.Olk.II-01.13;Schronisko z Grzybkami;Wyżyna Śląsko-Krakowska;Olkusz (gm. miejsko-wiejska);Skarb Państwa (Lasy Państwowe);10;3,5;3,5;0;0;544366,58;273661,68;10035
K.Bw-01.13;Piętrowa Koleba;Karpaty;Mszana Dolna (gm. wiejska);Skarb Państwa (Lasy Państwowe);4;0;0;0;1;571812,69;198592,95;10536
K.Bw-01.14;Szpara w Kamieniołomie;Karpaty;Jordanów (gm. wiejska);Skarb Państwa;2;0;0;0;0;561562,68;203282,22;10537
K.Pd-01.38;Koleba Biwakowa;Karpaty;Korczyna (gm. wiejska);Skarb Państwa (Lasy Państwowe);3;0;1;1;0;703248,06;212011,22;10501
K.Pd-01.39;Czarna Szczelina;Karpaty;Korczyna (gm. wiejska);Skarb Państwa (Lasy Państwowe);9;3,5;3,5;0;0;703229,22;211979,6;10502
K.Pd-01.40;Jaskinia Sokola;Karpaty;Korczyna (gm. wiejska);Skarb Państwa (Lasy Państwowe);6;0;1,5;1,5;0;703206,86;211988,03;10503
K.Pst-01.12;Szczelina w Harkowej Skale;Karpaty;Frysztak (gm. wiejska);Prywatny;4,5;0;0;0;0;679598,56;226121,56;10444
K.Pst-01.13;Dusiowa Jama;Karpaty;Frysztak (gm. wiejska);Prywatny;9;0,5;2;1,5;0;679811,3;226150,3;10445
K.Pc-01.19;Grota Czyżyka;Karpaty;Ciężkowice (gm. miejsko-wiejska);Skarb Państwa (Lasy Państwowe);4;0;1,5;1,5;0;643798,62;214226,62;10517
K.Pc-01.14;Dziura w Ostruszy;Karpaty;Ciężkowice (gm. miejsko-wiejska);Skarb Państwa (Lasy Państwowe);10;2;2;0;0;643412,48;214077,33;10512
K.Pc-02.07;Czarcia Izdebka;Karpaty;Brzyska (gm. wiejska);Prywatny;8;1,5;1,5;0;0;672340,26;217281,12;10530
K.Bs-01.15;Schron pod Stożkiem;Karpaty;Wisła (gm. miejska);Skarb Państwa (Lasy Państwowe);3,6;0;0;0;1;487523,91;193156,73;10538
K.Bs-02.209;Schronisko w Pietraszonce VI;Karpaty;Istebna (gm. wiejska);Skarb Państwa (Lasy Państwowe);3;0;0;0;0;497548,34;190350,79;10539
K.Bs-03.58;Schronisko nad Wąwozem;Karpaty;Lipowa (gm. wiejska);Skarb Państwa (Lasy Państwowe);4;0;0;0;1;503418,16;200654,99;10608
K.Pst-01.15;Pańska Jama;Karpaty;Frysztak (gm. wiejska);Skarb Państwa (Lasy Państwowe);5;1,5;1,5;0;0;688049,92;224274,75;10447
K.Pc-01.20;Sucha Dziura;Karpaty;Ciężkowice (gm. miejsko-wiejska);Skarb Państwa (Lasy Państwowe);2;0;0;0;0;643974,37;214237,49;10518
K.Pc-02.08;Wiszar Quasi-Jaskiniowy;Karpaty;Szerzyny (gm. wiejska);Skarb Państwa (Lasy Państwowe);4;0;6,5;6,5;0;656287,84;219646,96;10531
K.Pc-02.09;Schronisko nad Okapem;Karpaty;Szerzyny (gm. wiejska);Skarb Państwa (Lasy Państwowe);2;1;1;0;0;656287,84;219646,96;10532
K.Bs-02.153;Jaskinia Ostra-Rolling Stones;Karpaty;Lipowa (gm. wiejska);Prywatny;885;60;60;0;1;505203,9;198642,52;10585
K.Bw-02.18;Jaskinia w Głazach;Karpaty;Dobra (gm. wiejska);Skarb Państwa (Lasy Państwowe);12;5;5;0;1;592198,58;204408,51;10611
K.Pst-01.17;Jaskinia Żabia;Karpaty;Dębica (gm. miejska);Skarb Państwa (Lasy Państwowe);7;1,5;1,5;0;1;672232,5;242357,73;10449
