NR_INWENT,C,50;NAZWA,C,200;REGION,C,254;GMINA,C,100;WLASCICIEL,C,254;DLUGOSC,N,19,4;GLEBOKOSC,N,19,4;PRZEWYZSZE,N,19,4;DENIWELACJ,N,19,4;OSUWISKOWA,N,5,0;X_1992,N,19,4;Y_1992,N,19,4;ID,N,10,0
T.D-12.05;Jaskinia Błotna;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;28;2,7;2,7;0;0;566477,45;153694;1213
T.D-14.03;Jaskinia Zawaliskowa w Długim Giewoncie;Tatry;Zakopane (gm. miejska);Skarb Państwa;51;4,9;6,6;1,7;0;568493,32;154275,13;1215
T.B-13.01;Schron za Irgą;Tatry;Zakopane (gm. miejska);Skarb Państwa;4;0;0;0;0;567615,06;156094,57;1017
G-5.6;Schronisko Górne nad Starym Piekłem;Region Świętokrzyski;Chęciny (gm. miejsko-wiejska);Skarb Państwa (Lasy Państwowe);4;1;1;0;0;592489,5204;330763,1017;857
T.E-08.66;Schron pod Zbójnicką Turnią;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;6,5;1,4;1,4;0;0;563131,35;152624,34;1043
T.B-10.03;Szczelina Przysłopczańska;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;17;12,5;12,5;0;0;564552,19;155432,38;993
G-8Ex;Jaskinia w Laskowej I;Region Świętokrzyski;Kielce (gm. miejska);Prywatny;170;15;18,5;3,5;0;608611,91;336171,85;922
T.D-17.03;Jaskinia Korytarzowa;Tatry;Zakopane (gm. miejska);Skarb Państwa;18;0;0;0;0;571502,98;154343,69;1072
K.Bż-05.32;Ucho Igielne;Karpaty;Zawoja (gm. wiejska);Skarb Państwa (Lasy Państwowe);7,5;0;0;0;1;546553,03;196259,54;10157
J.Olk.I-01.02;Schronisko na Skraju Jury;Wyżyna Śląsko-Krakowska;Gołcza (gm. wiejska);Prywatny;25,6;2;2;0;0;563378,13;272724,21;10880
J.Olk.I-01.34;Jaskinia ze Świetlikiem;Wyżyna Śląsko-Krakowska;Gołcza (gm. wiejska);Prywatny;24,5;3;3;0;0;566550,72;267577,87;10912
G-1.41;Schronisko Pustułek;Region Świętokrzyski;Piekoszów (gm. wiejska);Skarb Państwa;6,5;0;0;0;0;605183,6878;333691,8051;819
K.Bż-05.33;Jaskinia Krupowa na Okrąglicy;Karpaty;Bystra-Sidzina (gm. wiejska);Skarb Państwa (Lasy Państwowe);18;3;3;0;1;547293,45;195751,56;10158
N-28Ex;Schronisko Małe (N-2.8);Niecka Nidziańska;Pińczów (gm. miejsko-wiejska);Prywatny;4;1;1;0;0;613931,8609;290010,8626;802
N-2.77;Jaskinia w Śladkowie Dużym;Niecka Nidziańska;Chmielnik (gm. miejsko-wiejska);Komunalny;10,7;0;0;0;0;621064,5765;303051,8275;776
N-2.62;Jaskinia Półkolista;Niecka Nidziańska;Busko-Zdrój (gm. miejsko-wiejska);Komunalny;58;1;1;0;0;620100,8115;288387,0553;755
N-2.58;Dwie Studnie;Niecka Nidziańska;Busko-Zdrój (gm. miejsko-wiejska);Komunalny;31;3,5;3,5;0;0;620025,4721;288230,8836;722
G-1.36;Schronisko nad Chelosiową Jamą;Region Świętokrzyski;Piekoszów (gm. wiejska);Skarb Państwa;4;2;2;0;0;605499,5055;333543,7551;814
G-7.8;Grota Skrzatów;Region Świętokrzyski;Brody (gm. wiejska);Skarb Państwa (Lasy Państwowe);3;0;0;0;0;653280,8537;350586,7618;881
N-2.63;Jaskinia w Siesławicach;Niecka Nidziańska;Busko-Zdrój (gm. miejsko-wiejska);Komunalny;21;5;5;0;0;620180,369;288357,977;756
N-2.54;Jaskinia pod Wygódką;Niecka Nidziańska;Wiślica (gm. miejsko-wiejska);Prywatny;12;0;1,5;1,5;0;619512,4708;282977,2037;749
N-2.80;Grota Szydły II;Niecka Nidziańska;Szydłów (gm. wiejska);Komunalny;8,5;0;0;0;0;641566,17;304368,22;779
G-2.9;Schronisko Mechate;Region Świętokrzyski;Chęciny (gm. miejsko-wiejska);Skarb Państwa;2;0;0;0;0;602853,7868;328919,015;829
N-2.74;Schronisko w Grodzisku;Niecka Nidziańska;Busko-Zdrój (gm. miejsko-wiejska);Prywatny;6;0;0;0;0;627929,7596;287644,4261;771
N-2.61;Jaskinia Szeroka;Niecka Nidziańska;Busko-Zdrój (gm. miejsko-wiejska);Komunalny;48;1,5;3;1,5;0;620023,3635;288323,5092;754
N-2.46;Jaskinia Flisa;Niecka Nidziańska;Wiślica (gm. miejsko-wiejska);Prywatny;71;2;5;3;0;619315,4072;282994,2041;742
N-27Ex;Sołecka Studnia w Gackach (N-2.6);Niecka Nidziańska;Pińczów (gm. miejsko-wiejska);Prywatny;6,3;6,3;6,3;0;0;613520,2513;288982,6139;801
N-14Ex;Jaskinia w Sielcu;Niecka Nidziańska;Wiślica (gm. miejsko-wiejska);;0;0;0;0;0;618233,9941;279263,0318;787
G-2.27;Jaskinia Psia;Region Świętokrzyski;Chęciny (gm. miejsko-wiejska);Skarb Państwa;16,5;4;4;0;0;595913,7752;331751,7802;846
T.E-07.02;Suchy Biwak;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;70;0;7,4;7,4;0;561357,6;153158,73;1285
G-1.38;Lisia Jama w Jaworzni;Region Świętokrzyski;Piekoszów (gm. wiejska);Skarb Państwa;3;0;0;0;0;605281,4013;333693,784;816
G-7.1;Schronisko pod Wodospadem;Region Świętokrzyski;Bodzechów (gm. wiejska);Prywatny;3;0;1;1;0;666035,9452;337752,7144;874
G-5.5;Stare Piekło;Region Świętokrzyski;Chęciny (gm. miejsko-wiejska);Skarb Państwa (Lasy Państwowe);6;0;0;0;0;592489,5204;330763,1017;856
N-2.64;Schronisko Wschodnie w Siesławicach;Niecka Nidziańska;Busko-Zdrój (gm. miejsko-wiejska);Komunalny;3;0;0;0;0;620200,0825;288358,4264;757
K.Bn-05.31;Schronisko z Grzybem;Karpaty;Sękowa (gm. wiejska);Skarb Państwa (Lasy Państwowe);5;0;1;1;1;668335;193263,24;10845
N-2.36;Schronisko w Skorocicach pod Drogą Zachodnie;Niecka Nidziańska;Wiślica (gm. miejsko-wiejska);Skarb Państwa;13;1;3,5;2,5;0;618680,36;284895,12;735
G-2.23;Jaskinia Południowa na Miedziance;Region Świętokrzyski;Chęciny (gm. miejsko-wiejska);Skarb Państwa;12,5;0;0;0;0;595597,01;331962,17;842
N-2.78;Schronisko w Śladkowie Małym;Niecka Nidziańska;Chmielnik (gm. miejsko-wiejska);Prywatny;10;0;1,5;1,5;0;623826,97;302683,79;777
T.E-11.30;Śnieżny Awen;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;9,5;6,5;6,5;0;0;565642,13;152962,18;1523
K.Bs-04.85;Salmopolski Schron IV;Karpaty;Brenna (gm. wiejska);Skarb Państwa (Lasy Państwowe);2,5;0;0;0;1;496921,77;199796,19;10257
T.E-04.02;Jaskinia Kokonowa;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;12;5,5;5,5;0;0;558496,93;153176,73;10865
T.E-12.23;Jaskinia Trójkątna;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;10;3,5;3,5;0;0;566961,45;153346,94;1558
T.E-11.46;Jaskinia za Zaciskiem;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;22;3,7;8;4,3;0;565507,28;152958,61;1509
T.E-13.04;Zaspałkowa Szczelina;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;10;5;5;0;0;567509,69;152759,66;1577
T.E-13.14;Jaskinia za Mnichem;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;12;0;4;4;0;567458,23;153527,52;1605
T.E-11.35;Schron pod Twardymi Spadami;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;2,5;0;0;0;0;565557,24;152959,93;1529
T.E-11.32;Schron w Progu Mułowym;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;11;0;3,4;3,4;0;565768,06;152925,52;1526
T.E-12.47;Studnia na Szlaku;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;11;11;11;0;0;566491,03;153369,48;1587
T.E-12.58;Jaskinia Zośka;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;416;84;93;9;0;566551,48;153456,89;1603
J.Olk.I-06.74;Okap z Krzakiem;Wyżyna Śląsko-Krakowska;Zabierzów (gm. wiejska);Prywatny;2,3;0;0;0;0;554115,1335;254595,3876;2001
T.E-11.59;Schron w Dolinie Litworowej;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;4;0;0;0;0;566292,09;152954,38;1532
T.E-12.57;Zagonna Studnia;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;70;52;52;0;0;566560,0833;153464,4032;1604
T.E-11.58;Wciągająca Szczelina;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;6,8;3;3;0;0;566267,52;152938,73;1531
T.E-12.24;Awen w Ratuszu;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;22;11;11;0;0;566740;153245;1559
T.E-12.02;Niebieska Studnia;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;75;42;42;0;0;566510,52;153200,06;1533
T.E-12.18;Nyża pod Ratuszem;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;4;0;0;0;0;566724,06;153440,62;1553
T.E-11.19;Schron z Balkonem;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;10;2,5;6;3,5;0;565573,82;152710,47;1498
T.E-11.47;Jaskinia za Ratuszem Śnieżna;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;11;2,9;2,9;0;0;566209,91;153227,1;1510
T.E-07.44;Szczelina przy Bańdziochu;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;2,8;0;3,2;3,2;0;561819,39;153310,89;1350
T.E-13.08;Koprowa Studnia;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;90;47;47;0;0;567702,5;152846,32;1590
T.E-12.51;Szczelina w Pośredniej Turni;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;3,5;1,5;1,5;0;0;566687,28;153319,7;1593
J.BK-02.27;Kawerna Winnica II;Wyżyna Śląsko-Krakowska;Kraków (gm. miejska);Komunalny;230;0;0;0;0;561450,3314;239697,3803;2111
T.E-11.20;Dziura w Progu Litworowym;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;10,5;0;1;1;0;565943,63;153090,11;1499
T.E-12.07;Jaskinia Małołącka;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;258;166;166;0;0;567076,94;152760,22;1537
T.E-12.49;Jaskinia w Kobylarzowym Żlebie;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;6;0;4,5;4,5;0;566450,42;153393,4;1589
T.E-12.27;Królicza Jama;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;29;10;10;0;0;566982,73;152885,06;1562
T.E-12.03;Jaskinia pod Wantą;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;520;158;172;14;0;566324,49;152969,1;1535
T.E-12.12;Jaskinia Wyżnia Litworowa;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;61;35;35;0;0;566625,57;152818,25;1547
T.E-12.50;Szara Studnia;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;125;50;50;0;0;566386,1;153359,18;1591
T.E-12.59;Zawalony Schron;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;8;0;0;0;0;566447,06;153499,78;1607
T.E-11.25;Jasiowa Dziura;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;40;25;25;0;0;565515,15;153038,79;1506
T.E-12.08;Jaskinia Śnieżna Studnia;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;12700;726;763;37;0;567141,75;153074,11;1538
T.E-11.48;Jaskinia Lejbusiowa;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;83;0;49;49;0;565523,35;152729,12;1511
T.E-12.52;Szuflada Dolna;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;14;2,2;5,5;3,3;0;566740,24;153396,07;1594
T.E-11.66;Jaskinia Niespodzianka;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;13;0;0;0;0;565450,19;152949,99;4787
J.Wl-01.09;Jaskinia Samsonowicza;Wyżyna Śląsko-Krakowska;Działoszyn (gm. miejsko-wiejska);Skarb Państwa;22;7,5;7,5;0;0;485260,2897;358804,2568;1304
T.E-12.21;Dziura w Wantach;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;85;14;20;6;0;566759,7;153355,67;1556
T.D-12.13;Jaskinia nad Wyżniem;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;19;1,5;1,5;0;0;566783,71;153642,13;1239
T.E-06.03;Jaskinia Troista;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;35;0;0;0;0;560692,33;152839,25;1300
T.E-08.23;Jaskinia Mała pod Zamkiem;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;16;0;0;0;0;562927,81;152598,5;1361
T.D-08.02;Jaskinia nad Mostkiem Niżnia;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;50;0;0;0;0;562848,75;154075,83;1088
T.E-07.31;Jaskinia z Mułem;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;21;0;2,1;2,1;0;562132,12;153014,28;1332
T.E-09.28;Nyża w Ździarach;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;5,1;0;0;0;0;564039;152952,76;1466
T.E-07.48;Szczelina w Uwozisku;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;6,5;0;0;0;0;562253,52;152392,74;1357
T.D-05.07;Szczelina w Dudzińcu;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;4;0;0;0;0;559670,52;153678,88;1176
T.D-08.43;Sowia Jama II;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;2,5;0;0;0;0;562859,16;153682,26;1132
T.D-08.32;Schron przed Sową I;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;7,5;0;2,7;2,7;0;562915,09;153721,72;1121
T.D-06.15;Nisza przy Szemrzącym Schronie I;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;3,8;0;0;0;0;561172,33;153398,73;1085
T.D-08.62;Szczelina z Mostkiem;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;9,5;0;6,8;6,8;0;563222,66;153619,9;1171
T.E-08.63;Nyża w Smytniej;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;4;0;0;0;0;562508,24;152399,48;1439
T.E-06.09;Komórka nad Smytnią;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;14;0;1,4;1,4;0;561039,61;153125,33;1331
T.D-18.06;Dziura pod Jaskinią Magurską;Tatry;Zakopane (gm. miejska);Skarb Państwa;16;1,2;2,8;1,6;0;572563,36;154141,89;1278
T.D-08.09;Okna Zbójnickie Niżnie;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;160;2,5;16,5;12;0;563218,65;153885,69;1096
J.Olk.I-01.32;Schronisko Północne;Wyżyna Śląsko-Krakowska;Skała (gm. miejsko-wiejska);Prywatny;11,5;0;0;0;0;566473,45;267726,68;10910
T.E-12.73;Dziura nad Śnieżną Studnią;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;5,6;2,5;2,5;0;0;567089,65;153020,36;11055
K.Bż-05.36;Dwupiętrowa Koleba;Karpaty;Zawoja (gm. wiejska);Skarb Państwa (Lasy Państwowe);4,5;1;1;0;1;546296,59;196229,56;10162
T.E-08.25;Jaskinia Ziobrowa;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;160;1,6;18,6;17;0;562858,16;152736,38;1363
T.D-17.15;Dziura pod Kamieniem;Tatry;Zakopane (gm. miejska);Skarb Państwa;2,9;0;1,3;1,3;0;571327,17;154279,12;1267
T.D-08.08;Jaskinia Zimna;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;5335;156;176;20;0;563104,43;153931,27;1095
T.E-05.08;Schron Zachodni w Iwanówce;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;6;0;0;0;0;559680,43;153039,4;1295
T.D-06.13;Szczelina przed Kufą;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;3;0;1;1;0;561009,33;153514,37;1083
T.E-07.30;Schron z Kołem;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;19;0;7;7;0;562057,07;153017,29;1330
T.E-08.36;Szczelina nad Żlebem;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;8;0;1,1;1,1;0;562605,12;152704,92;1405
J.Cz.III-06.06;Lej Szpatowców;Wyżyna Śląsko-Krakowska;Kroczyce (gm. wiejska);Prywatny;5,5;5,5;5,5;0;0;537717,1962;300555,8474;3587
T.E-08.01;Jaskinia pod Zamkiem;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;123;0;10,8;10,8;0;562927,82;152598,5;1360
T.D-05.03;Schron w Wyżniej Bramie Chochołowskiej;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;6;2;2;0;0;559289,67;153451,89;1099
T.D-09.05;Żwirowa Dziura Wyżnia;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;9,5;0;0;0;0;563247,14;153828,47;1174
T.D-16.12;Szczelina w Myślenickich Turniach Dolna;Tatry;Zakopane (gm. miejska);Skarb Państwa;2,8;0;0;0;0;570796,05;154253,08;1240
T.E-11.38;Korytarz nad Piargiem;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;16;0;7,3;7,3;0;565900,27;153028,98;1493
T.D-17.07;Szczelina w Zawraciku Kasprowym II;Tatry;Zakopane (gm. miejska);Skarb Państwa;3;0;0;0;0;571530,51;154112,56;1252
T.E-07.25;Jaskinia nad Prożkiem w Żlebie Na Spady;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;12;0;0;0;0;562136,85;153024,4;1322
T.E-04.01;Dziura w Zawiesistej;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;5,5;1;1;0;0;558657,27;153137,28;1282
T.E-09.05;Jaskinia nad Arkadą;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;21;0;8;8;0;563585,05;152504,94;1421
T.D-08.31;Dziura w Organach VII;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;7,5;1;1;0;0;563042,2428;153525,164;1120
T.D-08.36;Szczelina przy Dziurawcu;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;16;0;6;6;0;562974,65;154153,13;1125
T.E-07.10;Szczelina w Smytniej;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;7;0;2,4;2,4;0;561522,87;152390,41;1303
T.D-06.07;Szczelina Zawaliskowa nad Kufą;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;6;0;3,4;3,4;0;561029,7;153499,92;1077
T.D-08.34;Schron przed Sową III;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;4,5;0;0;0;0;562896,87;153919,16;1123
T.E-08.57;Schron pod Tunelem;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;4;0;0;0;0;562310,47;153073,98;1433
T.E-07.13;Jaskinia pod Kapliczką;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;8,5;0,5;3;2,4;0;561567,77;153132,74;1308
T.D-05.06;Schronisko w Kalwarii;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;10;0;3,9;3,9;0;559571,1;154036,1;1170
T.D-08.10;Okno Zbójnickie Wyżnie;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;13,6;9;9;0;0;562890,26;153829,02;1098
T.E-08.48;Radkowa Dziura II;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;3;0;0;0;0;563080,83;152519,58;1420
T.D-08.53;Wąska Szczelina;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;5,5;0;0;0;0;563016,94;153990,31;1161
T.D-16.10;Schron z Nietoperzami;Tatry;Zakopane (gm. miejska);Skarb Państwa;6,8;0;0;0;0;570781,07;154252,68;1237
J.Cz.I-01.01;Schronisko w Skale Jaś i Małgosia;Wyżyna Śląsko-Krakowska;Częstochowa (gm. miejska);Prywatny;5;0;0;0;0;514709,8674;328139,6858;1266
T.E-08.12;Dziura nad Mylną;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;25;0;2;2;0;562658,93;152711,34;1390
K.Bs-03.117;Jaskinia Lodowa Pietraszkowa;Karpaty;Wisła (gm. miejska);Prywatny;5,2;1,2;1,9;0,7;1;497803,85;198701,91;10163
K.Bm-02.29;Jaskinia Dziurawa;Karpaty;Zembrzyce (gm. wiejska);Skarb Państwa (Lasy Państwowe);160;6;8,5;2,5;1;539925,72;212477,98;10303
T.D-17.02;Jaskinia Kasprowa Średnia;Tatry;Zakopane (gm. miejska);Skarb Państwa;150;45;53;8;0;571473,16;154164,03;1247
T.E-06.10;Szczelina pod Skośną;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;3,8;0;1,9;1,9;0;561208,24;153174,77;1333
T.D-08.30;Schron pod Kazalnicą;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;12;0;4,8;4,8;0;562701,66;153590,13;1119
J.GT-02.01Ex;Schronisko obok Kochanowa I;Wyżyna Śląsko-Krakowska;Zabierzów (gm. wiejska);Skarb Państwa (Lasy Państwowe);8;0;0;0;0;554202,4865;249902,7029;3329
T.E-11.04;Jaskinia w Szerokiem;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;40;13,3;13,3;0;0;565434,5;152686,79;1471
T.E-07.05;Tylkowa Szczelina;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;98;25;25;0;0;561303,93;153147,31;1291
T.D-14.05;Szczelina w Giewoncie II;Tatry;Zakopane (gm. miejska);Skarb Państwa;3,7;1,3;1,3;0;0;568501,28;154276,34;1218
T.D-06.04;Schronisko Dudowe Górne;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;6;0;0;0;0;560613,54;153398,95;980
T.D-16.08;Grota u podnóża Myślenickich Turni;Tatry;Zakopane (gm. miejska);Skarb Państwa;30;0;4,5;4,5;0;570843,86;154146,38;1235
T.D-06.16;Nisza przy Szemrzącym Schronie II;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;3,6;0;0;0;0;561187,31;153399,13;1086
T.D-09.02;Jaskinia przy Sikawce;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;10;0;0;0;0;564098,26;153774,49;1173
T.E-06.05;Schron przy Troistej II;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;6;0;2;2;0;560755,88;152854,93;1321
T.D-09.06;Żwirowa Dziura Niżnia;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;12;0;0;0;0;563252,26;153823,61;1175
T.E-10.09;Świstowy Worek;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;9;6,5;6,5;0;0;565189,42;153119,79;11057
T.E-05.04;Schronisko pod Dziobem III;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;6,5;0;0;0;0;559973,29;153040,15;1290
T.D-05.04;Szczelina w Osmętnicy;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;19;0;5;5;0;559725,32;153685,33;1142
T.E-07.09;Jaskinia Rura Kominiarska;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;36;0;0;0;0;561714,93;153103,21;1302
T.D-08.33;Schron przed Sową II;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;5;0;0;0;0;562928,48;153858,02;1122
T.D-18.07;Nyża pod Jaskinią Magurską IV;Tatry;Zakopane (gm. miejska);Skarb Państwa;1,5;0;0;0;0;572416,68;154087,95;1279
T.E-07.03;Jaskinia Mechata;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;66;2,7;18;15,2;0;561351,07;153141,56;1287
T.E-08.51;Zasłonięta Szczelina;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;7;0;0;0;0;562344,53;152919,94;1427
T.E-09.24;Schron z Napisami;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;4;0;0;0;0;563426,06;152392,76;1463
T.E-07.08;Schron przy Suchym Biwaku;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;14;2;2;0;0;561340,09;153178,26;1301
T.D-08.15;Jaskinia pod Ostrewką;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;15;2,5;6,5;4;0;563175,08;153869,54;1104
T.D-16.07;Nyża pod Myślenicką Szczeliną;Tatry;Zakopane (gm. miejska);Skarb Państwa;3,2;0;0;0;0;570762,04;154216,19;1234
T.E-09.36;Schron w Upłazkowej Turni;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;9;0;0;0;0;563992,78;152583,68;1488
T.E-07.01;Awen Odpękniętych Nacieków;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;13;9;9;0;0;561391,76;153152,64;1284
J.Cz.I-02.09;Schronisko w Górze Towarniej Małej;Wyżyna Śląsko-Krakowska;Olsztyn (gm. wiejska);Prywatny;9;0;0;0;0;519074,3221;322163,1471;2184
T.D-08.51;Szczelina pod Tunelem Pawlikowskiego;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;10;0;0;0;0;563045,31;153938,08;1141
G-6.5;Schronisko Bardzo Niskie;Region Świętokrzyski;Końskie (gm. miejsko-wiejska);Skarb Państwa (Lasy Państwowe);3,5;0;0;0;0;598764,3225;363652,6691;873
T.E-10.03;Dziura nad Studnią;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;20;6,2;6,2;0;0;565237,81;153131,41;1450
G-1.34;Jaskinia Pajęcza;Region Świętokrzyski;Piekoszów (gm. wiejska);Skarb Państwa;1183;17,5;25,5;8;0;605441,5022;333511,6873;812
G-2.26;Schronisko z Mostem Skalnym;Region Świętokrzyski;Chęciny (gm. miejsko-wiejska);Skarb Państwa;15;7;7;0;0;595814,3203;331842,6122;845
N-9Ex;Jaskinia w Krzyżanowicach Dolna;Niecka Nidziańska;Pińczów (gm. miejsko-wiejska);;20;2;0;0;0;612720,6892;288563,8895;720
N-7Ex;Jaskinia w Woli Zagojskiej;Niecka Nidziańska;Pińczów (gm. miejsko-wiejska);;0;0;0;0;0;614533,0172;286842,2234;753
N-8Ex;Jaskinia w Łagiewnikach;Niecka Nidziańska;Busko-Zdrój (gm. miejsko-wiejska);;0;0;0;0;0;623700,3124;293011,431;746
G-7.5;Płaska Jama I w Krynkach;Region Świętokrzyski;Brody (gm. wiejska);Skarb Państwa (Lasy Państwowe);5,5;0;0;0;0;653296,67;350710,84;878
N-2.71;Jaskinia Opalowa;Niecka Nidziańska;Wiślica (gm. miejsko-wiejska);Prywatny;11;0;1;1;0;621642,4768;279680,1501;775
G-2.28;Jaskinia w Sztolni Teresa na Miedziance;Region Świętokrzyski;Chęciny (gm. miejsko-wiejska);Skarb Państwa;270;0;16;16;0;595913,7752;331751,7802;847
N-11Ex;Schronisko w Siesławicach I;Niecka Nidziańska;Busko-Zdrój (gm. miejsko-wiejska);;14;0;0;0;0;620219,7961;288358,8759;784
N-16Ex;Pustki podziemne w Staszowie;Niecka Nidziańska;Staszów (gm. miejsko-wiejska);;0;0;0;0;0;653718,9614;302485,4457;789
N-2.65;Schronisko Wodne I;Niecka Nidziańska;Busko-Zdrój (gm. miejsko-wiejska);Komunalny;2;0;0;0;0;620178,9614;288419,7274;758
N-2.41;Mały Tunel;Niecka Nidziańska;Wiślica (gm. miejsko-wiejska);Skarb Państwa;6;0;1,5;1,5;0;618642,2977;284832,4799;717
K.Bs-01.10;Szczelina i Okap z Widokiem na Kobylą;Karpaty;Wisła (gm. miejska);Skarb Państwa (Lasy Państwowe);7;4;4;0;0;488203,59;195520,12;10683
N-18Ex;Jaskinie w Piasecznie i Machowie;Niecka Nidziańska;Łoniów (gm. wiejska);;0;0;0;0;0;683790,67;301535,96;791
N-2.60;Dziupla;Niecka Nidziańska;Busko-Zdrój (gm. miejsko-wiejska);Komunalny;11;2;2;0;0;620023,3635;288323,5092;752
